STATION,NAME,DATE,PRCP,TMAX,TMIN
USC00054388,"JOHN MARTIN DAM, CO US",7/20/09,,100,65
USC00054388,"JOHN MARTIN DAM, CO US",7/21/09,0.02,99,63
USC00054388,"JOHN MARTIN DAM, CO US",7/22/09,0.07,85,59
USC00054388,"JOHN MARTIN DAM, CO US",7/23/09,0.12,92,62
USC00054388,"JOHN MARTIN DAM, CO US",7/24/09,0,99,62
USC00054388,"JOHN MARTIN DAM, CO US",7/25/09,0,102,65
USC00054388,"JOHN MARTIN DAM, CO US",7/26/09,0,92,64
USC00054388,"JOHN MARTIN DAM, CO US",7/27/09,,85,60
USC00054388,"JOHN MARTIN DAM, CO US",7/28/09,0.07,100,62
USC00054388,"JOHN MARTIN DAM, CO US",7/29/09,0,82,62
USC00054388,"JOHN MARTIN DAM, CO US",7/30/09,0.15,78,58
USC00054388,"JOHN MARTIN DAM, CO US",7/31/09,0.01,71,57
USC00054388,"JOHN MARTIN DAM, CO US",8/1/09,0.02,91,55
USC00054388,"JOHN MARTIN DAM, CO US",8/2/09,0,82,58
USC00054388,"JOHN MARTIN DAM, CO US",8/3/09,0,95,57
USC00054388,"JOHN MARTIN DAM, CO US",8/4/09,0,102,59
USC00054388,"JOHN MARTIN DAM, CO US",8/5/09,0,95,63
USC00054388,"JOHN MARTIN DAM, CO US",8/6/09,0.13,92,66
USC00054388,"JOHN MARTIN DAM, CO US",8/7/09,0,100,69
USC00054388,"JOHN MARTIN DAM, CO US",8/8/09,0,99,69
USC00054388,"JOHN MARTIN DAM, CO US",8/9/09,0,97,62
USC00054388,"JOHN MARTIN DAM, CO US",8/10/09,0,87,59
USC00054388,"JOHN MARTIN DAM, CO US",8/11/09,0.06,85,61
USC00054388,"JOHN MARTIN DAM, CO US",8/12/09,0,91,64
USC00054388,"JOHN MARTIN DAM, CO US",8/13/09,0.02,96,59
USC00054388,"JOHN MARTIN DAM, CO US",8/14/09,0,98,63
USC00054388,"JOHN MARTIN DAM, CO US",8/15/09,0.07,91,59
USC00054388,"JOHN MARTIN DAM, CO US",8/16/09,0,84,56
USC00054388,"JOHN MARTIN DAM, CO US",8/17/09,0,83,59
USC00054388,"JOHN MARTIN DAM, CO US",8/18/09,0,82,60
USC00054388,"JOHN MARTIN DAM, CO US",8/19/09,0.25,82,53
USC00054388,"JOHN MARTIN DAM, CO US",8/20/09,0,91,54
USC00054388,"JOHN MARTIN DAM, CO US",8/21/09,0,87,52
USC00054388,"JOHN MARTIN DAM, CO US",8/22/09,0,88,57
USC00054388,"JOHN MARTIN DAM, CO US",8/23/09,0,94,63
USC00054388,"JOHN MARTIN DAM, CO US",8/24/09,0,102,64
USC00054388,"JOHN MARTIN DAM, CO US",8/25/09,0.01,98,62
USC00054388,"JOHN MARTIN DAM, CO US",8/26/09,0.01,97,62
USC00054388,"JOHN MARTIN DAM, CO US",8/27/09,0.11,86,54
USC00054388,"JOHN MARTIN DAM, CO US",8/28/09,0,89,51
USC00054388,"JOHN MARTIN DAM, CO US",8/29/09,0,88,56
USC00054388,"JOHN MARTIN DAM, CO US",8/30/09,0,83,53
USC00054388,"JOHN MARTIN DAM, CO US",8/31/09,0,73,55
USC00054388,"JOHN MARTIN DAM, CO US",9/1/09,0,91,55
USC00054388,"JOHN MARTIN DAM, CO US",9/2/09,0,91,57
USC00054388,"JOHN MARTIN DAM, CO US",9/3/09,0,92,58
USC00054388,"JOHN MARTIN DAM, CO US",9/4/09,0.01,93,51
USC00054388,"JOHN MARTIN DAM, CO US",9/5/09,0,72,54
USC00054388,"JOHN MARTIN DAM, CO US",9/6/09,0,81,54
USC00054388,"JOHN MARTIN DAM, CO US",9/7/09,0,92,57
USC00054388,"JOHN MARTIN DAM, CO US",9/8/09,0,94,57
USC00054388,"JOHN MARTIN DAM, CO US",9/9/09,0,93,60
USC00054388,"JOHN MARTIN DAM, CO US",9/10/09,0,82,53
USC00054388,"JOHN MARTIN DAM, CO US",9/11/09,0,85,51
USC00054388,"JOHN MARTIN DAM, CO US",9/12/09,0.61,78,52
USC00054388,"JOHN MARTIN DAM, CO US",9/13/09,0,67,50
USC00054388,"JOHN MARTIN DAM, CO US",9/14/09,0,72,52
USC00054388,"JOHN MARTIN DAM, CO US",9/15/09,0,84,51
USC00054388,"JOHN MARTIN DAM, CO US",9/16/09,0,83,53
USC00054388,"JOHN MARTIN DAM, CO US",9/17/09,0,77,49
USC00054388,"JOHN MARTIN DAM, CO US",9/18/09,0,76,48
USC00054388,"JOHN MARTIN DAM, CO US",9/19/09,0,77,49
USC00054388,"JOHN MARTIN DAM, CO US",9/20/09,0,84,50
USC00054388,"JOHN MARTIN DAM, CO US",9/21/09,0,91,53
USC00054388,"JOHN MARTIN DAM, CO US",9/22/09,0.42,59,37
USC00054388,"JOHN MARTIN DAM, CO US",9/23/09,0.01,60,41
USC00054388,"JOHN MARTIN DAM, CO US",9/24/09,0.12,59,42
USC00054388,"JOHN MARTIN DAM, CO US",9/25/09,0.07,68,42
USC00054388,"JOHN MARTIN DAM, CO US",9/26/09,0,68,43
USC00054388,"JOHN MARTIN DAM, CO US",9/27/09,0,83,51
USC00054388,"JOHN MARTIN DAM, CO US",9/28/09,0.01,88,44
USC00054388,"JOHN MARTIN DAM, CO US",9/29/09,0,71,41
USC00054388,"JOHN MARTIN DAM, CO US",9/30/09,0,87,44
USC00054388,"JOHN MARTIN DAM, CO US",10/1/09,0,92,44
USC00054388,"JOHN MARTIN DAM, CO US",10/2/09,0,66,26
USC00054388,"JOHN MARTIN DAM, CO US",10/3/09,0,66,29
USC00054388,"JOHN MARTIN DAM, CO US",10/4/09,0,68,29
USC00054388,"JOHN MARTIN DAM, CO US",10/5/09,0,60,49
USC00054388,"JOHN MARTIN DAM, CO US",10/6/09,0,81,37
USC00054388,"JOHN MARTIN DAM, CO US",10/7/09,0,64,36
USC00054388,"JOHN MARTIN DAM, CO US",10/8/09,0,79,41
USC00054388,"JOHN MARTIN DAM, CO US",10/9/09,0.19,55,33
USC00054388,"JOHN MARTIN DAM, CO US",10/10/09,0,57,24
USC00054388,"JOHN MARTIN DAM, CO US",10/11/09,0,25,24
USC00054388,"JOHN MARTIN DAM, CO US",10/12/09,0,35,25
USC00054388,"JOHN MARTIN DAM, CO US",10/13/09,,42,31
USC00054388,"JOHN MARTIN DAM, CO US",10/14/09,0.13,49,38
USC00054388,"JOHN MARTIN DAM, CO US",10/15/09,0.08,58,39
USC00054388,"JOHN MARTIN DAM, CO US",10/16/09,0,74,39
USC00054388,"JOHN MARTIN DAM, CO US",10/17/09,0,68,39
USC00054388,"JOHN MARTIN DAM, CO US",10/18/09,0,67,35
USC00054388,"JOHN MARTIN DAM, CO US",10/19/09,0,87,33
USC00054388,"JOHN MARTIN DAM, CO US",10/20/09,0,85,40
USC00054388,"JOHN MARTIN DAM, CO US",10/21/09,0.9,84,21
USC00054388,"JOHN MARTIN DAM, CO US",10/22/09,0.65,40,33
USC00054388,"JOHN MARTIN DAM, CO US",10/23/09,0,56,32
USC00054388,"JOHN MARTIN DAM, CO US",10/24/09,0,66,33
USC00054388,"JOHN MARTIN DAM, CO US",10/25/09,0,67,34
USC00054388,"JOHN MARTIN DAM, CO US",10/26/09,,46,30
USC00054388,"JOHN MARTIN DAM, CO US",10/27/09,0,54,24
USC00054388,"JOHN MARTIN DAM, CO US",10/28/09,0,55,25
USC00054388,"JOHN MARTIN DAM, CO US",10/29/09,0.14,44,32
USC00054388,"JOHN MARTIN DAM, CO US",10/30/09,0.08,45,20
USC00054388,"JOHN MARTIN DAM, CO US",10/31/09,0,69,21
USC00054388,"JOHN MARTIN DAM, CO US",11/1/09,0,68,31
USC00054388,"JOHN MARTIN DAM, CO US",11/2/09,0,72,31
USC00054388,"JOHN MARTIN DAM, CO US",11/3/09,0,60,29
USC00054388,"JOHN MARTIN DAM, CO US",11/4/09,0,63,33
USC00054388,"JOHN MARTIN DAM, CO US",11/5/09,0,61,31
USC00054388,"JOHN MARTIN DAM, CO US",11/6/09,0,79,34
USC00054388,"JOHN MARTIN DAM, CO US",11/7/09,0,76,38
USC00054388,"JOHN MARTIN DAM, CO US",11/8/09,0,76,38
USC00054388,"JOHN MARTIN DAM, CO US",11/9/09,0,70,34
USC00054388,"JOHN MARTIN DAM, CO US",11/10/09,0,61,30
USC00054388,"JOHN MARTIN DAM, CO US",11/11/09,0,,
USC00054388,"JOHN MARTIN DAM, CO US",11/12/09,0,,
USC00054388,"JOHN MARTIN DAM, CO US",11/13/09,0,76,41
USC00054388,"JOHN MARTIN DAM, CO US",11/14/09,0,49,40
USC00054388,"JOHN MARTIN DAM, CO US",11/15/09,0,43,30
USC00054388,"JOHN MARTIN DAM, CO US",11/16/09,0.56,36,20
USC00054388,"JOHN MARTIN DAM, CO US",11/17/09,0,41,14
USC00054388,"JOHN MARTIN DAM, CO US",11/18/09,0,45,16
USC00054388,"JOHN MARTIN DAM, CO US",11/19/09,0,49,23
USC00054388,"JOHN MARTIN DAM, CO US",11/20/09,0,54,28
USC00054388,"JOHN MARTIN DAM, CO US",11/21/09,0,55,26
USC00054388,"JOHN MARTIN DAM, CO US",11/22/09,0,54,26
USC00054388,"JOHN MARTIN DAM, CO US",11/23/09,0,55,22
USC00054388,"JOHN MARTIN DAM, CO US",11/24/09,0,52,20
USC00054388,"JOHN MARTIN DAM, CO US",11/25/09,0,49,14
USC00054388,"JOHN MARTIN DAM, CO US",11/26/09,0,50,24
USC00054388,"JOHN MARTIN DAM, CO US",11/27/09,0,64,26
USC00054388,"JOHN MARTIN DAM, CO US",11/28/09,0,72,27
USC00054388,"JOHN MARTIN DAM, CO US",11/29/09,0,62,30
USC00054388,"JOHN MARTIN DAM, CO US",11/30/09,0,41,23
USC00054388,"JOHN MARTIN DAM, CO US",12/1/09,0,59,17
USC00054388,"JOHN MARTIN DAM, CO US",12/2/09,0,61,20
USC00054388,"JOHN MARTIN DAM, CO US",12/3/09,0,31,15
USC00054388,"JOHN MARTIN DAM, CO US",12/4/09,0,27,5
USC00054388,"JOHN MARTIN DAM, CO US",12/5/09,0,34,8
USC00054388,"JOHN MARTIN DAM, CO US",12/6/09,0,38,10
USC00054388,"JOHN MARTIN DAM, CO US",12/7/09,,19,7
USC00054388,"JOHN MARTIN DAM, CO US",12/8/09,0,15,9
USC00054388,"JOHN MARTIN DAM, CO US",12/9/09,0,13,-12
USC00054388,"JOHN MARTIN DAM, CO US",12/10/09,0,18,-11
USC00054388,"JOHN MARTIN DAM, CO US",12/11/09,0,30,-7
USC00054388,"JOHN MARTIN DAM, CO US",12/12/09,0,30,2
USC00054388,"JOHN MARTIN DAM, CO US",12/13/09,0,52,15
USC00054388,"JOHN MARTIN DAM, CO US",12/14/09,0,63,5
USC00054388,"JOHN MARTIN DAM, CO US",12/15/09,0,49,12
USC00054388,"JOHN MARTIN DAM, CO US",12/16/09,0,43,15
USC00054388,"JOHN MARTIN DAM, CO US",12/17/09,0,58,19
USC00054388,"JOHN MARTIN DAM, CO US",12/18/09,0,56,24
USC00054388,"JOHN MARTIN DAM, CO US",12/19/09,0,49,18
USC00054388,"JOHN MARTIN DAM, CO US",12/20/09,0,48,19
USC00054388,"JOHN MARTIN DAM, CO US",12/21/09,0,55,20
USC00054388,"JOHN MARTIN DAM, CO US",12/22/09,0,66,23
USC00054388,"JOHN MARTIN DAM, CO US",12/23/09,0.18,44,24
USC00054388,"JOHN MARTIN DAM, CO US",12/24/09,0.1,41,12
USC00054388,"JOHN MARTIN DAM, CO US",12/25/09,0,24,5
USC00054388,"JOHN MARTIN DAM, CO US",12/26/09,0,25,4
USC00054388,"JOHN MARTIN DAM, CO US",12/27/09,0,33,23
USC00054388,"JOHN MARTIN DAM, CO US",12/28/09,0,45,10
USC00054388,"JOHN MARTIN DAM, CO US",12/29/09,0,39,12
USC00054388,"JOHN MARTIN DAM, CO US",12/30/09,0,40,19
USC00054388,"JOHN MARTIN DAM, CO US",12/31/09,0.01,41,20
USC00054388,"JOHN MARTIN DAM, CO US",1/1/10,0,41,17
USC00054388,"JOHN MARTIN DAM, CO US",1/2/10,0,45,17
USC00054388,"JOHN MARTIN DAM, CO US",1/3/10,0,36,18
USC00054388,"JOHN MARTIN DAM, CO US",1/4/10,0,44,24
USC00054388,"JOHN MARTIN DAM, CO US",1/5/10,0,47,19
USC00054388,"JOHN MARTIN DAM, CO US",1/6/10,0,38,19
USC00054388,"JOHN MARTIN DAM, CO US",1/7/10,0,32,5
USC00054388,"JOHN MARTIN DAM, CO US",1/8/10,0,25,-4
USC00054388,"JOHN MARTIN DAM, CO US",1/9/10,0,35,-1
USC00054388,"JOHN MARTIN DAM, CO US",1/10/10,0,43,-1
USC00054388,"JOHN MARTIN DAM, CO US",1/11/10,0,56,10
USC00054388,"JOHN MARTIN DAM, CO US",1/12/10,0,57,14
USC00054388,"JOHN MARTIN DAM, CO US",1/13/10,0,58,16
USC00054388,"JOHN MARTIN DAM, CO US",1/14/10,0,62,24
USC00054388,"JOHN MARTIN DAM, CO US",1/15/10,0,49,19
USC00054388,"JOHN MARTIN DAM, CO US",1/16/10,0,44,20
USC00054388,"JOHN MARTIN DAM, CO US",1/17/10,0,55,21
USC00054388,"JOHN MARTIN DAM, CO US",1/18/10,0,38,20
USC00054388,"JOHN MARTIN DAM, CO US",1/19/10,0,42,23
USC00054388,"JOHN MARTIN DAM, CO US",1/20/10,0,53,20
USC00054388,"JOHN MARTIN DAM, CO US",1/21/10,0,45,20
USC00054388,"JOHN MARTIN DAM, CO US",1/22/10,0,57,22
USC00054388,"JOHN MARTIN DAM, CO US",1/23/10,0,63,26
USC00054388,"JOHN MARTIN DAM, CO US",1/24/10,0,52,20
USC00054388,"JOHN MARTIN DAM, CO US",1/25/10,0,46,17
USC00054388,"JOHN MARTIN DAM, CO US",1/26/10,0,47,14
USC00054388,"JOHN MARTIN DAM, CO US",1/27/10,0,47,14
USC00054388,"JOHN MARTIN DAM, CO US",1/28/10,0,52,20
USC00054388,"JOHN MARTIN DAM, CO US",1/29/10,0.36,38,18
USC00054388,"JOHN MARTIN DAM, CO US",1/30/10,0,37,10
USC00054388,"JOHN MARTIN DAM, CO US",1/31/10,0,45,10
USC00054388,"JOHN MARTIN DAM, CO US",2/1/10,0,36,17
USC00054388,"JOHN MARTIN DAM, CO US",2/2/10,0,50,15
USC00054388,"JOHN MARTIN DAM, CO US",2/3/10,0,50,18
USC00054388,"JOHN MARTIN DAM, CO US",2/4/10,0.1,44,20
USC00054388,"JOHN MARTIN DAM, CO US",2/5/10,0,43,26
USC00054388,"JOHN MARTIN DAM, CO US",2/6/10,0,45,23
USC00054388,"JOHN MARTIN DAM, CO US",2/7/10,0,48,23
USC00054388,"JOHN MARTIN DAM, CO US",2/8/10,0.15,32,22
USC00054388,"JOHN MARTIN DAM, CO US",2/9/10,0.01,31,3
USC00054388,"JOHN MARTIN DAM, CO US",2/10/10,0,28,1
USC00054388,"JOHN MARTIN DAM, CO US",2/11/10,0,34,15
USC00054388,"JOHN MARTIN DAM, CO US",2/12/10,0,46,19
USC00054388,"JOHN MARTIN DAM, CO US",2/13/10,0,51,25
USC00054388,"JOHN MARTIN DAM, CO US",2/14/10,0,54,25
USC00054388,"JOHN MARTIN DAM, CO US",2/15/10,0,34,15
USC00054388,"JOHN MARTIN DAM, CO US",2/16/10,0,41,15
USC00054388,"JOHN MARTIN DAM, CO US",2/17/10,0,45,13
